configuration_id,arm,pool,selected_episode_count,prior_answer_fraction
A3_l0.9_r1.0_k08,A3,deployed_n_union_k,13,0.154
A3_l0.9_r1.0_k16,A3,deployed_n_union_k,13,0.154
A3_l1.0_r0.0_k02,A3,deployed_n_union_k,12,0.083
A3_l1.0_r0.0_k04,A3,deployed_n_union_k,12,0.083
A3_l1.0_r0.0_k08,A3,deployed_n_union_k,12,0.167
A3_l1.0_r0.0_k16,A3,deployed_n_union_k,11,0.091
A3_l1.0_r0.5_k02,A3,deployed_n_union_k,12,0.167
A3_l1.0_r0.5_k04,A3,deployed_n_union_k,12,0.167
A3_l1.0_r0.5_k08,A3,deployed_n_union_k,12,0.167
A3_l1.0_r0.5_k16,A3,deployed_n_union_k,12,0.167
A3_l1.0_r1.0_k02,A3,deployed_n_union_k,12,0.167
A3_l1.0_r1.0_k04,A3,deployed_n_union_k,12,0.167
A3_l1.0_r1.0_k08,A3,deployed_n_union_k,13,0.154
A3_l1.0_r1.0_k16,A3,deployed_n_union_k,13,0.154
