arm,turn,estimated_tokens,tokens_per_second,output_tokens
L,997,15012,9.004874,75
L,998,17148,8.336458,75
L,999,15016,17.712905,199
L,1000,14798,17.525340,195
S,1,116,33.765557,51
S,2,213,41.034882,91
S,3,356,40.312594,89
S,4,525,35.030367,58
S,5,654,35.584810,60
S,6,766,35.857508,69
S,7,894,35.209888,72
S,8,1041,36.455778,98
S,9,1186,33.914337,73
S,10,1334,34.595001,89
S,11,1477,34.595245,89
S,12,1500,32.916351,73
S,13,1459,30.306546,60
S,14,1443,30.532531,55
S,15,1581,32.457966,72
S,16,1602,33.938381,92
S,17,1613,32.199059,73
S,18,1752,31.847205,74
S,19,1657,33.696702,89
S,20,1638,32.175254,72
S,21,1583,30.109140,60
S,22,1579,29.218513,55
S,23,1852,30.634043,72
S,24,1878,32.657892,89
S,25,1893,30.933639,73
S,26,2024,30.443052,74
S,27,1833,33.040121,89
S,28,1772,28.874086,58
S,29,1703,29.170557,60
S,30,1710,31.776593,70
S,31,2123,29.957175,72
S,32,2153,29.994207,74
S,33,2172,29.827381,73
S,34,2296,28.966157,74
S,35,2009,32.401549,89
S,36,1905,28.588366,58
S,37,1823,28.861130,60
S,38,1841,27.825261,55
S,39,2394,28.499845,72
S,40,1482,28.602875,48
S,41,2400,28.917867,73
S,42,2567,28.410129,74
S,43,2184,31.972975,89
S,44,2039,27.918919,58
S,45,1943,28.258590,60
S,46,1972,27.267379,55
S,47,2665,28.038558,72
S,48,2548,28.196108,74
S,49,2730,27.865902,73
S,50,2839,27.292455,74
S,51,2360,31.396089,89
S,52,2173,27.634269,58
S,53,2063,27.875598,60
S,54,2104,27.068902,55
S,55,2936,26.708329,72
S,56,2823,27.446346,74
S,57,3010,26.905721,73
S,58,3111,26.468038,74
S,59,2536,30.643837,89
S,60,2307,26.839030,58
S,61,2183,27.280336,60
S,62,2235,26.791856,55
S,63,3207,25.911816,72
S,64,3099,26.454796,74
S,65,3289,26.218861,73
S,66,3383,25.585856,74
S,67,2712,30.168972,89
S,68,2440,26.230398,58
S,69,2303,26.753998,60
S,70,2366,26.006189,55
S,71,3478,24.810765,72
S,72,3374,25.702134,74
S,73,3568,25.271624,73
S,74,3654,24.722522,74
S,75,1578,32.250250,75
S,76,2554,25.825151,58
S,77,2423,26.125312,60
S,78,2497,25.508153,55
S,79,3749,24.324854,72
S,80,3649,24.722095,74
S,81,3847,24.382264,73
S,82,3926,24.026856,74
S,83,1492,29.683182,54
S,84,1442,33.916577,84
S,85,1500,36.206548,112
S,86,1499,27.858622,46
S,87,2703,23.258353,50
S,88,1626,33.043553,82
S,89,1481,33.524573,82
S,90,2866,31.278657,107
S,91,1822,32.722118,87
S,92,1956,33.398994,100
S,93,2259,32.068455,96
S,94,2084,25.090395,46
S,95,3323,21.346605,50
S,96,2246,30.687266,82
S,97,1654,32.734578,82
S,98,3155,28.758570,91
S,99,2321,31.346436,88
S,100,2560,29.728548,84
S,101,3015,29.676208,96
S,102,2666,22.836426,46
S,103,3944,19.710710,50
S,104,2867,28.515008,82
S,105,1823,32.014451,82
S,106,3446,28.009753,91
S,107,2801,26.027921,64
S,108,3007,28.286163,84
S,109,3772,27.700337,96
S,110,3248,21.069238,46
S,111,4566,18.241177,50
S,112,3489,26.642274,82
S,113,1992,31.681999,82
S,114,3736,27.137437,91
S,115,3271,28.808263,94
S,116,3483,27.189036,84
S,117,4529,25.995331,96
S,118,3830,22.424056,62
S,119,5187,16.988131,50
S,120,4110,24.920874,82
S,121,2161,31.050552,82
S,122,1725,25.604383,43
S,123,3707,27.543800,94
S,124,3939,26.125496,84
S,125,5230,24.509375,96
S,126,4247,18.032542,46
S,127,5754,15.776836,50
S,128,4566,24.146757,82
S,129,2330,30.286996,82
S,130,4151,26.201015,91
S,131,4252,24.187537,78
S,132,4395,24.787286,84
S,133,5987,22.815049,96
S,134,4829,20.085188,62
S,135,6375,14.823706,50
S,136,5188,22.789347,82
S,137,2499,29.537383,82
S,138,4441,25.472821,91
S,139,4743,23.040463,78
S,140,4851,23.807254,84
S,141,6744,21.687294,96
S,142,5411,15.712966,46
S,143,6997,14.084667,50
S,144,5809,21.430825,82
S,145,2668,29.299811,82
S,146,4731,24.897491,91
S,147,5233,22.102964,78
S,148,5307,22.703191,84
S,149,7501,20.641258,96
S,150,5994,17.874839,62
S,151,7618,13.489167,50
S,152,6431,20.226935,82
S,153,2837,28.748328,82
S,154,5022,24.095568,91
S,155,5724,21.138846,78
S,156,5763,22.165096,84
S,157,1722,30.826246,71
S,158,6551,13.985800,46
S,159,8240,12.686650,50
S,160,7202,19.187681,82
S,161,3006,28.383883,82
S,162,5312,23.424470,91
S,163,6364,20.042473,78
S,164,1497,28.646175,50
S,165,1438,35.175144,97
S,166,1496,35.229292,100
S,167,1683,30.591430,63
S,168,5471,21.148575,76
S,169,1624,29.931174,59
S,170,1582,34.217180,94
S,171,4217,27.205057,102
S,172,1622,30.612377,65
S,173,2071,32.901342,97
S,174,1980,33.405172,100
S,175,2110,28.587242,63
S,176,6050,17.709535,61
S,177,2363,26.216382,59
S,178,2161,30.404190,78
S,179,4386,24.983987,87
S,180,1893,29.234347,65
S,181,2667,30.828992,97
S,182,2460,31.694954,100
S,183,2536,26.448804,63
S,184,6629,16.864617,61
S,185,3102,23.744906,59
S,186,2741,28.309697,78
S,187,4555,24.698769,87
S,188,2163,28.788642,65
S,189,3263,30.466276,112
S,190,2939,30.039654,100
S,191,2963,24.869981,63
S,192,7209,16.010739,61
S,193,3841,24.516254,74
S,194,3320,26.583773,78
S,195,4724,24.193785,87
S,196,2434,27.299687,65
S,197,3859,27.691073,97
S,198,3419,28.887318,100
S,199,3389,23.593286,63
S,200,7788,15.313946,61
S,201,4580,20.018543,59
S,202,3899,25.126059,78
S,203,1813,24.497494,41
S,204,2633,26.576949,65
S,205,4287,26.169012,97
S,206,3730,27.978213,100
S,207,3913,22.204774,63
S,208,8198,14.729853,61
S,209,5150,18.886796,59
S,210,4309,23.738329,78
S,211,4893,24.119488,87
S,212,2975,25.520710,65
S,213,4883,25.061594,97
S,214,4210,27.041572,100
S,215,4339,21.234182,63
S,216,8777,14.028563,61
S,217,5889,19.848281,74
S,218,4889,22.414564,78
S,219,5062,23.662646,87
S,220,3245,24.960154,65
S,221,5479,23.888078,97
S,222,4689,25.822331,100
S,223,4766,20.315445,63
S,224,9357,13.449313,61
S,225,6628,16.196646,59
S,226,5468,21.348997,78
S,227,5231,23.345084,87
S,228,3516,24.214354,65
S,229,6075,22.678718,97
S,230,5169,24.963701,100
S,231,5192,19.289049,63
S,232,9936,12.973941,61
S,233,7367,15.347452,59
S,234,6047,20.256655,78
S,235,5400,22.878821,87
S,236,3786,23.231641,65
S,237,6672,21.793633,97
S,238,1705,30.400178,68
S,239,5590,18.855288,63
S,240,10515,12.342006,61
S,241,8260,14.099222,59
S,242,6626,19.270820,78
S,243,5569,22.568441,87
S,244,4057,22.456041,65
S,245,7422,20.593341,97
S,246,1510,28.207106,50
S,247,1436,33.541862,80
S,248,1488,36.436245,114
S,249,2776,25.743439,64
S,250,1665,31.993985,80
S,251,1646,31.386016,74
S,252,1431,23.881387,32
S,253,3909,23.590618,73
S,254,1608,33.682113,88
S,255,2866,29.508821,94
S,256,5909,21.432836,83
S,257,1640,32.106874,74
S,258,1913,31.961728,80
S,259,1682,35.447388,114
S,260,3067,24.669159,64
S,261,4410,19.867415,58
S,262,2069,29.881426,73
S,263,3150,27.040582,79
S,264,6233,21.028556,83
S,265,1938,30.396716,74
S,266,2349,30.058763,80
S,267,1873,34.837143,114
S,268,3357,24.013551,64
S,269,4846,19.142825,58
S,270,2530,28.219397,73
S,271,3434,26.028230,79
S,272,6558,20.383803,83
S,273,2236,29.796365,74
S,274,2785,28.458748,80
S,275,2063,34.293018,114
S,276,3648,23.211399,64
S,277,5282,18.111814,58
S,278,2991,26.865590,73
S,279,3718,25.445627,79
S,280,6882,20.004633,83
S,281,2534,28.470818,74
S,282,3220,27.406879,80
S,283,2254,33.621977,114
S,284,3939,22.423025,64
S,285,5717,17.375974,58
S,286,3453,25.528509,73
S,287,4002,24.362268,79
S,288,2110,25.450177,51
S,289,2777,27.964403,74
S,290,3656,25.801765,80
S,291,2444,32.814592,114
S,292,4336,21.567480,64
S,293,6153,16.930950,58
S,294,4020,23.783342,73
S,295,4286,23.798821,79
S,296,7370,19.221075,83
S,297,3130,26.396915,74
S,298,4092,24.610419,80
S,299,2635,32.524786,114
S,300,4627,20.828572,64
S,301,6589,16.192670,58
S,302,4481,22.907238,73
S,303,4570,23.092171,79
S,304,7695,18.799621,83
S,305,3428,25.736248,74
S,306,4528,23.668427,80
S,307,2825,31.688334,114
S,308,4917,20.288151,64
S,309,7025,15.365502,58
S,310,4943,21.660915,73
S,311,4854,22.567771,79
S,312,8019,18.447285,83
S,313,3726,25.096559,74
S,314,4963,22.991343,80
S,315,3016,31.284250,114
S,316,5208,19.630036,64
S,317,7460,14.812257,58
S,318,5404,20.937270,73
S,319,5138,22.256747,79
S,320,8344,17.795854,83
S,321,4024,24.231296,74
S,322,5399,21.849017,80
S,323,2068,31.105255,86
S,324,5465,19.174786,64
S,325,7896,14.453036,58
S,326,5865,20.276349,73
S,327,5422,21.672022,79
S,328,8668,17.616815,83
S,329,4322,23.351905,74
S,330,1596,28.436429,54
S,331,3193,26.258254,73
S,332,1472,35.841441,106
S,333,1516,34.572819,89
S,334,6263,16.366352,58
S,335,3171,25.827533,70
S,336,2747,30.799285,102
S,337,5759,25.424434,114
S,338,1791,30.194321,68
S,339,3711,24.995963,73
S,340,1822,35.179891,118
S,341,1670,31.576812,73
S,342,6542,16.166564,58
S,343,3471,24.699360,70
S,344,3075,28.166901,87
S,345,5945,23.394857,99
S,346,2216,28.509721,68
S,347,4198,23.838653,73
S,348,2166,33.446438,106
S,349,1826,32.624736,88
S,350,6821,15.585893,58
S,351,3771,24.127715,70
S,352,3403,27.357117,87
S,353,6131,23.033340,99
S,354,2642,28.160987,75
S,355,4696,22.667145,73
S,356,2512,31.912069,106
S,357,1979,30.264411,73
S,358,7112,15.279666,58
S,359,4071,23.430448,70
S,360,3731,26.346249,87
S,361,6317,22.832528,99
S,362,3080,26.800477,75
S,363,5182,21.723814,73
S,364,2858,31.350691,106
S,365,2132,30.221968,73
S,366,7404,14.918116,58
S,367,4372,22.513715,70
S,368,4060,25.708483,87
S,369,2046,23.495326,42
S,370,3440,25.799900,75
S,371,5483,21.059864,73
S,372,3204,30.039193,106
S,373,2285,29.358988,73
S,374,7695,14.569382,58
S,375,4672,22.024564,70
S,376,4495,24.770016,87
S,377,6503,22.453441,99
S,378,3956,24.426571,75
S,379,5969,20.130258,73
S,380,3550,29.129136,106
S,381,2438,28.840056,73
S,382,7986,14.164892,58
S,383,4972,21.112215,70
S,384,4824,24.097644,87
S,385,6689,22.065161,99
S,386,4394,23.163137,75
S,387,6455,19.319971,73
S,388,3896,28.537833,106
S,389,2591,28.175045,73
S,390,8277,16.132746,73
S,391,5272,20.710392,70
S,392,5152,23.617542,87
S,393,6875,21.910761,99
S,394,4832,22.308653,75
S,395,6941,18.634808,73
S,396,4242,27.468452,106
S,397,2744,27.519253,73
S,398,8569,13.519594,58
S,399,5573,19.934072,70
S,400,5480,22.768654,87
S,401,7061,21.681328,99
S,402,5270,21.417543,75
S,403,7428,17.948427,73
S,404,2056,30.521561,81
S,405,2873,27.352217,73
S,406,8860,13.279328,58
S,407,5873,19.468824,70
S,408,5808,22.313585,87
S,409,7247,21.437200,99
S,410,5708,20.872008,75
S,411,8083,16.972811,73
S,412,1487,28.810940,50
S,413,1442,33.742148,84
S,414,1494,35.534338,104
S,415,1525,32.601657,73
S,416,6469,19.626250,81
S,417,2852,27.402997,77
S,418,5857,20.944620,77
S,419,4883,26.066467,108
S,420,2046,28.241432,62
S,421,2201,31.286389,84
S,422,1827,34.171337,104
S,423,2084,27.381989,57
S,424,6937,16.169391,63
S,425,3286,23.672316,61
S,426,6318,20.004648,77
S,427,5436,23.366074,93
S,428,2907,25.215139,62
S,429,2922,28.471437,84
S,430,2154,32.672303,99
S,431,2629,25.099379,57
S,432,7404,15.627731,63
S,433,3717,22.345961,61
S,434,6780,19.196773,77
S,435,5990,22.272552,93
S,436,3769,22.621355,62
S,437,3644,26.380122,84
S,438,2473,31.611401,99
S,439,3183,23.432254,57
S,440,7871,15.220211,63
S,441,4149,21.457583,61
S,442,7243,18.360833,77
S,443,6543,21.460884,93
S,444,4630,20.543781,62
S,445,4365,24.563320,84
S,446,2792,31.080720,99
S,447,3736,22.013129,57
S,448,8338,14.514738,63
S,449,4580,20.242979,61
S,450,7705,17.762135,77
S,451,2140,24.179996,48
S,452,5424,19.086634,62
S,453,4909,23.368954,84
S,454,3110,29.786681,99
S,455,4113,20.732567,57
S,456,8628,14.231278,63
S,457,4835,19.682449,61
S,458,7991,17.499058,77
S,459,7473,19.969315,93
S,460,6175,17.718628,62
S,461,5631,21.915459,84
S,462,3429,29.160703,99
S,463,4666,19.516214,57
S,464,9096,13.599918,63
S,465,5266,18.881988,62
S,466,8454,16.944645,77
S,467,8027,19.097358,93
S,468,7037,16.398060,62
S,469,6353,20.573278,84
S,470,3748,27.960126,99
S,471,5220,18.137709,57
S,472,9563,13.406338,63
S,473,5698,18.112154,61
S,474,8916,16.307675,77
S,475,8580,18.578422,93
S,476,7898,15.291562,62
S,477,7074,19.478942,84
S,478,4067,27.237541,99
S,479,5774,17.151862,57
S,480,10030,12.858510,63
S,481,6130,17.241927,61
S,482,9378,15.770719,77
S,483,9134,17.901953,93
S,484,8759,14.215605,62
S,485,7796,18.511882,84
S,486,2406,30.588806,91
S,487,6303,16.760344,57
S,488,10497,12.430055,63
S,489,6561,16.587103,61
S,490,9841,15.308151,77
S,491,9687,17.208021,93
S,492,9621,13.418637,62
S,493,1714,26.402627,49
S,494,1436,34.305580,89
S,495,1491,36.025773,104
S,496,1511,31.820008,68
S,497,7534,16.870707,73
S,498,1447,30.490787,62
S,499,1452,32.058863,67
S,500,2136,29.883501,80
S,501,1782,30.280450,73
S,502,1507,25.329017,39
S,503,4543,26.829922,106
S,504,1641,32.174322,78
S,505,2016,32.044252,89
S,506,2046,33.401896,104
S,507,1628,27.554473,46
S,508,7785,13.380915,53
S,509,1703,29.417178,62
S,510,1606,31.198762,67
S,511,4933,26.018635,106
S,512,1914,31.113945,78
S,513,2437,30.148646,89
S,514,2597,31.579637,104
S,515,1741,26.931392,46
S,516,8037,13.259961,53
S,517,1954,28.526740,62
S,518,1757,30.277896,67
S,519,5250,25.550555,106
S,520,2187,29.602506,78
S,521,2857,29.221083,89
S,522,3148,29.868800,104
S,523,1854,25.562155,46
S,524,8289,13.022334,53
S,525,2206,27.250009,62
S,526,1907,29.990504,67
S,527,5567,24.885813,106
S,528,2460,28.813935,78
S,529,3278,27.928945,89
S,530,3699,28.598324,104
S,531,1967,25.446796,46
S,532,8541,12.623008,53
S,533,2458,26.330296,62
S,534,2058,29.385470,67
S,535,2347,22.924315,46
S,536,2649,28.439007,78
S,537,3698,26.709725,89
S,538,4250,27.177640,104
S,539,2080,24.829642,46
S,540,8792,14.876901,69
S,541,2710,25.533485,62
S,542,2208,28.928720,67
S,543,6012,23.950185,106
S,544,3006,26.988466,78
S,545,4119,25.629100,89
S,546,4801,25.919481,104
S,547,2193,24.432095,46
S,548,9044,12.198468,53
S,549,2961,24.737815,62
S,550,2359,27.808717,67
S,551,6329,23.307109,106
S,552,3279,26.235625,78
S,553,4539,24.879802,89
S,554,5352,24.805752,104
S,555,2306,23.370777,46
S,556,9296,14.360973,69
S,557,3213,23.737286,62
S,558,2509,27.547317,67
S,559,6646,22.791082,106
S,560,3552,25.180914,78
S,561,4960,23.755747,89
S,562,5903,23.717991,104
S,563,2419,23.194625,46
S,564,9548,11.762951,53
S,565,3465,22.800263,62
S,566,2660,27.101649,67
S,567,6963,22.236381,106
S,568,3825,24.784974,78
S,569,5380,22.890256,89
S,570,4132,24.022248,78
S,571,2500,22.969443,46
S,572,9799,11.422032,53
S,573,3717,22.175576,62
S,574,2810,26.413313,67
S,575,7280,21.920870,106
S,576,4098,23.856652,78
S,577,1486,29.339808,52
S,578,1442,34.089259,89
S,579,1481,36.189154,113
S,580,1520,33.305527,77
S,581,7712,15.424930,64
S,582,1614,31.040457,69
S,583,4661,23.827091,83
S,584,4753,24.346099,89
S,585,1920,29.260285,65
S,586,2272,29.467990,74
S,587,2272,33.325240,113
S,588,1963,28.511745,61
S,589,8457,14.718359,64
S,590,2207,25.809103,54
S,591,5281,22.500557,83
S,592,5189,23.609782,89
S,593,2665,26.635553,65
S,594,3211,26.509019,74
S,595,3059,31.328601,113
S,596,2402,26.775487,61
S,597,9202,13.940448,64
S,598,2800,23.980172,54
S,599,5902,21.395768,83
S,600,5625,22.846684,89
S,601,3410,24.386378,65
S,602,4150,24.008347,74
S,603,3847,29.147515,113
S,604,2841,25.392116,61
S,605,9947,13.134921,64
S,606,3393,24.482405,69
S,607,6522,20.287237,83
S,608,6061,21.885909,89
S,609,4155,22.371537,65
S,610,5089,21.800481,74
S,611,4634,27.491785,113
S,612,3280,24.113146,61
S,613,10692,12.521065,64
S,614,3987,20.401761,54
S,615,7143,19.488943,83
S,616,2994,20.637770,47
S,617,4827,20.900456,65
S,618,5955,20.014465,74
S,619,5242,26.205866,113
S,620,3540,23.293955,61
S,621,11364,12.031537,64
S,622,4507,19.013438,54
S,623,7584,18.762038,83
S,624,6860,20.502443,89
S,625,5572,19.483987,65
S,626,6894,18.692492,74
S,627,6030,24.701907,113
S,628,3979,22.103436,61
S,629,12109,11.450883,64
S,630,5100,18.163945,54
S,631,8205,17.900885,83
S,632,7296,19.737283,89
S,633,6317,17.952809,65
S,634,7833,17.390840,74
S,635,6817,23.549085,113
S,636,4418,20.848017,61
S,637,12854,11.005804,64
S,638,5694,19.479811,69
S,639,8825,17.224970,83
S,640,7732,19.220804,89
S,641,7062,17.070175,65
S,642,8772,16.410490,74
S,643,7604,22.299812,113
S,644,4857,20.337727,61
S,645,13599,10.558031,64
S,646,6287,18.254536,69
S,647,9446,16.426988,83
S,648,8168,18.762562,89
S,649,7807,16.086317,65
S,650,9711,15.186363,74
S,651,2395,28.765898,77
S,652,5252,19.357320,61
S,653,14344,10.272742,64
S,654,6880,17.580161,69
S,655,10066,15.895982,83
S,656,8604,18.274089,89
S,657,8552,15.219467,65
S,658,10456,14.543207,74
S,659,1722,27.125316,54
S,660,4816,24.608913,91
S,661,1497,36.331368,119
S,662,3873,20.695864,52
S,663,11303,10.829760,57
S,664,1621,30.181848,68
S,665,4360,22.090186,68
S,666,8901,19.962349,104
S,667,1811,30.202010,68
S,668,5405,23.453722,91
S,669,1712,35.757888,119
S,670,3994,20.205417,52
S,671,11425,10.638828,57
S,672,2063,28.688631,68
S,673,4660,21.434013,68
S,674,9207,17.539369,87
S,675,2438,27.540972,68
S,676,5968,22.366517,91
S,677,1922,35.117974,119
S,678,4115,19.958370,52
S,679,11548,10.703701,57
S,680,2505,26.827384,68
S,681,4960,20.837787,68
S,682,9513,19.242339,104
S,683,3064,25.522302,68
S,684,6532,21.191655,91
S,685,2132,34.506159,119
S,686,4236,19.487080,52
S,687,11670,10.512104,57
S,688,2947,25.046158,68
S,689,5260,20.346308,68
S,690,9820,16.845673,87
S,691,3690,23.754293,68
S,692,7095,20.363078,91
S,693,2342,33.513224,119
S,694,4358,19.177300,52
S,695,11792,10.413451,57
S,696,3390,24.102186,68
S,697,5561,19.786326,68
S,698,2453,22.176851,45
S,699,4258,22.426309,68
S,700,7659,19.575250,91
S,701,2553,33.193366,119
S,702,4479,19.110496,52
S,703,12022,10.234363,57
S,704,3832,22.967465,68
S,705,5861,19.086910,68
S,706,10266,16.427358,87
S,707,4777,21.072112,68
S,708,8222,18.727941,91
S,709,2763,32.496190,119
S,710,4600,18.677375,52
S,711,12145,10.199363,57
S,712,4274,21.996922,68
S,713,6161,18.780844,68
S,714,10572,15.999149,87
S,715,5403,19.569706,68
S,716,8786,18.200202,91
S,717,2973,31.832019,119
S,718,4721,18.316617,52
S,719,12267,10.054274,57
S,720,4716,20.753456,68
S,721,6461,18.369120,68
S,722,10879,15.642790,87
S,723,6029,18.866976,68
S,724,9349,17.406700,91
S,725,3183,31.310344,119
S,726,4843,17.971667,52
S,727,12389,10.000128,57
S,728,5159,20.170544,68
S,729,6762,17.967369,68
S,730,11185,15.370149,87
S,731,6655,17.664464,68
S,732,9913,16.820689,91
S,733,3045,26.057177,75
S,734,4908,17.909389,52
S,735,12511,9.984830,57
S,736,5601,19.149195,68
S,737,7062,17.440618,68
S,738,11645,16.759999,104
S,739,7282,16.727857,68
S,740,1596,27.879217,51
S,741,3353,27.304886,86
S,742,3138,29.917729,103
S,743,1694,30.010146,61
S,744,12355,13.397541,83
S,745,1616,33.398843,92
S,746,9173,16.722642,80
S,747,6469,22.833894,102
S,748,1666,30.272317,66
S,749,4035,25.611942,86
S,750,2708,27.402516,80
S,751,2350,28.689876,75
S,752,1590,27.089661,48
S,753,3604,28.806324,103
S,754,2692,26.235681,61
S,755,12644,11.238451,67
S,756,2122,26.685967,60
S,757,9463,16.320358,80
S,758,7162,21.898387,102
S,759,2154,28.744279,66
S,760,4660,24.412540,86
S,761,4225,27.376285,103
S,762,3567,23.313724,61
S,763,12934,11.016622,67
S,764,2605,26.698660,68
S,765,9792,16.015984,80
S,766,7855,20.951522,102
S,767,2642,26.941195,66
S,768,5301,22.909266,86
S,769,4768,26.491605,103
S,770,4441,20.794293,61
S,771,13224,12.810911,83
S,772,3103,23.361576,60
S,773,10090,15.819994,80
S,774,8547,20.088443,102
S,775,3130,25.241960,66
S,776,5926,21.785303,86
S,777,5311,25.293377,103
S,778,5316,19.292392,61
S,779,13514,12.524854,83
S,780,3586,22.185047,60
S,781,10403,15.343687,80
S,782,2703,19.680613,42
S,783,3529,24.312558,66
S,784,6355,21.238281,86
S,785,5658,24.457862,103
S,786,5994,18.240941,61
S,787,13803,12.302171,83
S,788,3872,21.383439,60
S,789,10717,15.104772,80
S,790,9737,18.626609,102
S,791,3910,23.124065,66
S,792,6980,20.084207,86
S,793,6202,23.532874,103
S,794,6869,16.847760,61
S,795,14093,10.326073,67
S,796,4355,21.662501,68
S,797,11046,14.805048,80
S,798,10430,17.876194,102
S,799,4398,22.159384,66
S,800,7621,19.086539,86
S,801,6745,22.722717,103
S,802,7743,15.608248,61
S,803,14383,10.181051,67
S,804,4853,19.660720,61
S,805,11344,14.482696,80
S,806,11122,17.128346,102
S,807,4886,20.771952,66
S,808,8246,20.214392,102
S,809,7288,22.022248,103
S,810,8618,14.695981,61
S,811,14673,10.076741,67
S,812,5336,21.043164,77
S,813,11657,14.249390,80
S,814,11815,16.656279,102
S,815,5374,20.100176,66
S,816,8871,17.407424,86
S,817,5330,21.832874,81
S,818,9451,13.943427,61
S,819,14962,9.905915,67
S,820,5818,21.182028,84
S,821,12150,13.887969,80
S,822,12303,16.141994,102
S,823,5862,19.102231,66
S,824,9512,16.902222,86
S,825,1944,25.714022,52
S,826,1437,33.750931,82
S,827,1485,36.503254,117
S,828,2901,24.769761,60
S,829,11390,12.976542,74
S,830,1751,31.577877,82
S,831,2871,25.972811,68
S,832,4897,23.145729,78
S,833,2116,29.131869,69
S,834,2078,31.096335,82
S,835,2110,34.427725,117
S,836,3480,23.327748,60
S,837,11980,10.754583,60
S,838,2330,27.069268,67
S,839,3279,24.900414,68
S,840,5330,22.056698,78
S,841,2872,26.354753,69
S,842,2661,29.098893,82
S,843,2711,32.343381,117
S,844,4038,21.756779,60
S,845,12549,10.386601,60
S,846,2890,25.111792,67
S,847,3686,23.599752,68
S,848,5762,21.261039,78
S,849,3628,24.179887,69
S,850,3245,27.192484,82
S,851,3313,30.563539,117
S,852,4597,20.129200,60
S,853,13119,9.971626,60
S,854,3450,23.803866,67
S,855,4093,22.394847,68
S,856,6195,20.205846,78
S,857,4384,22.012405,69
S,858,3828,25.325698,82
S,859,3914,29.505856,117
S,860,5155,19.159118,60
S,861,13689,9.749729,60
S,862,4010,22.261336,67
S,863,4500,21.464228,68
S,864,2660,20.467344,42
S,865,5092,20.890880,69
S,866,4250,24.335761,82
S,867,4515,27.828764,117
S,868,5552,18.188203,60
S,869,14259,9.429876,60
S,870,4569,20.729289,67
S,871,5020,20.193366,68
S,872,6899,19.417200,78
S,873,5896,19.061915,69
S,874,4833,23.099793,82
S,875,5116,26.727852,117
S,876,6111,17.349088,60
S,877,14828,9.094033,60
S,878,5129,19.956830,67
S,879,5427,19.599593,68
S,880,7331,18.591031,78
S,881,6652,18.030099,69
S,882,5416,22.151834,82
S,883,5718,25.402692,117
S,884,6669,16.412632,60
S,885,15398,8.877390,60
S,886,5689,18.815958,67
S,887,5835,18.839063,68
S,888,7764,18.027199,78
S,889,7408,16.929409,69
S,890,6000,20.998121,82
S,891,6319,24.449789,117
S,892,7228,15.841467,60
S,893,15968,8.598927,60
S,894,6249,17.798864,67
S,895,6242,18.058612,68
S,896,8196,17.568957,78
S,897,8164,15.936969,69
S,898,6583,19.848478,82
S,899,3192,25.779954,75
S,900,7734,15.041825,60
S,901,16538,8.383201,60
S,902,6808,17.104591,67
S,903,6649,17.533885,68
S,904,8629,16.822273,78
S,905,8716,15.203374,69
S,906,1820,26.350437,52
S,907,1440,32.537872,74
S,908,1482,35.734449,107
S,909,10542,13.457716,69
S,910,13845,9.669383,62
S,911,1614,28.945023,62
S,912,7757,16.279831,67
S,913,12402,13.639847,81
S,914,1650,32.930390,91
S,915,2057,30.655021,74
S,916,1835,34.211174,107
S,917,11141,12.920104,69
S,918,14274,9.521560,62
S,919,1904,27.831246,62
S,920,8626,15.472640,67
S,921,12568,13.606845,81
S,922,1964,29.790613,76
S,923,2624,28.321013,74
S,924,2183,33.313246,107
S,925,11740,12.626597,69
S,926,14703,9.267463,62
S,927,2194,26.784444,62
S,928,9494,14.377689,67
S,929,12734,13.488097,81
S,930,2278,29.183535,76
S,931,3190,26.291786,74
S,932,2532,31.874149,107
S,933,12338,12.015757,69
S,934,15132,9.169744,62
S,935,2484,25.564639,62
S,936,10362,13.493946,67
S,937,12899,13.262215,81
S,938,2592,27.981472,76
S,939,3756,26.562269,89
S,940,2880,31.105450,107
S,941,12937,11.655221,69
S,942,15561,8.967049,62
S,943,2775,24.690150,62
S,944,11230,12.867113,67
S,945,2767,19.540688,42
S,946,2848,27.904420,76
S,947,4430,25.044321,89
S,948,3229,30.035137,107
S,949,13478,11.235355,69
S,950,15825,8.753710,62
S,951,3065,24.011053,62
S,952,12099,12.240704,67
S,953,13065,13.085379,81
S,954,3220,26.198215,76
S,955,4996,21.631466,74
S,956,3577,29.183332,107
S,957,14077,10.915707,69
S,958,16254,8.536106,62
S,959,3355,22.971093,62
S,960,12967,11.659011,67
S,961,13231,13.000644,81
S,962,3534,24.960332,76
S,963,5563,20.826235,74
S,964,3926,28.375894,107
S,965,14675,10.593997,69
S,966,16683,8.439661,62
S,967,3645,22.171458,62
S,968,13835,11.005414,67
S,969,13397,12.885435,81
S,970,3848,24.324050,76
S,971,6129,19.783825,74
S,972,4274,27.531577,107
S,973,15274,10.292479,69
S,974,17112,8.340921,62
S,975,3936,21.603808,62
S,976,14703,10.584482,67
S,977,13562,14.439352,96
S,978,4162,23.423206,76
S,979,6695,18.839563,74
S,980,2972,27.177493,81
S,981,15845,9.981834,69
S,982,17541,8.168909,62
S,983,4226,20.895754,62
S,984,15572,9.972318,67
S,985,13728,14.346965,96
S,986,4476,22.881616,76
S,987,2934,26.969693,80
S,988,3645,24.752214,78
S,989,3210,24.480652,72
S,990,4007,24.447200,82
S,991,2232,28.723046,77
S,992,5408,20.824443,79
S,993,2515,27.465876,76
S,994,5263,21.489184,80
