turn,store_episodes,delivered_chars,chars_wanted,episodes_delivered,episodes_dropped,truncated,over_budget
773,773,31965,42521,73,23,True,False
774,774,31654,56336,67,48,True,False
775,775,31920,33444,66,3,True,False
776,776,31693,35447,66,7,True,False
777,777,31830,38705,60,12,True,False
778,778,31748,34856,66,6,True,False
779,779,31954,45843,90,42,True,False
780,780,31980,38662,69,13,True,False
781,781,31965,44423,73,27,True,False
782,782,31954,42895,69,29,True,False
783,783,31803,33796,66,4,True,False
784,784,31777,35095,66,7,True,False
785,785,31876,39157,60,13,True,False
786,786,31926,34970,65,8,True,False
787,787,31763,46127,89,44,True,False
788,788,31923,39907,69,15,True,False
789,789,31647,45437,72,30,True,False
790,790,31940,59176,67,53,True,False
791,791,31709,33540,65,4,True,False
792,792,31990,35358,66,7,True,False
793,793,31994,39175,60,14,True,False
794,794,31808,35042,64,7,True,False
795,795,31763,45986,89,44,True,False
796,796,31690,42169,69,19,True,False
797,797,31647,46817,72,33,True,False
798,798,31940,60616,67,55,True,False
799,799,31826,33532,65,4,True,False
800,800,31898,36852,65,11,True,False
801,801,31757,39167,60,14,True,False
802,802,31732,37214,63,12,True,False
803,803,31763,46115,89,45,True,False
804,804,31966,42102,70,19,True,False
805,805,31647,48197,72,36,True,False
806,806,31940,62352,67,58,True,False
807,807,31959,33465,65,3,True,False
808,808,31898,37776,65,12,True,False
809,809,31757,39179,60,14,True,False
810,810,31686,37096,62,12,True,False
811,811,31763,46031,89,45,True,False
812,812,31922,42151,70,20,True,False
813,813,31647,49577,72,39,True,False
814,814,31664,64615,66,63,True,False
815,815,31855,35024,65,6,True,False
816,816,31896,39017,65,14,True,False
817,817,31908,36716,63,11,True,False
818,818,31855,36893,62,11,True,False
819,819,31862,46226,89,46,True,False
820,820,31710,41733,69,20,True,False
821,821,31746,51056,72,42,True,False
822,822,31588,65864,66,65,True,False
823,823,31334,35786,66,6,True,False
824,824,31997,40118,65,16,True,False
825,825,31984,45503,82,38,True,False
826,826,31807,46368,69,29,True,False
827,827,31850,46195,57,24,True,False
828,828,31760,45768,73,38,True,False
829,829,31862,44970,90,43,True,False
830,830,31855,43211,71,23,True,False
831,831,31663,44475,71,28,True,False
832,832,31823,49113,67,34,True,False
833,833,31917,42824,76,23,True,False
834,834,31662,43719,68,24,True,False
835,835,31741,43625,57,20,True,False
836,836,31732,44237,73,34,True,False
837,837,31753,43846,90,41,True,False
838,838,31746,42032,71,21,True,False
839,839,31906,44147,72,27,True,False
840,840,31714,50073,67,36,True,False
841,841,31808,38923,76,15,True,False
842,842,31985,41840,69,19,True,False
843,843,31983,41737,58,16,True,False
844,844,31975,42994,74,30,True,False
845,845,31933,44381,91,42,True,False
846,846,31637,41923,71,21,True,False
847,847,31908,43052,72,25,True,False
848,848,31605,50486,67,37,True,False
849,849,31774,35897,76,9,True,False
850,850,31952,41131,69,18,True,False
851,851,31950,40763,58,14,True,False
852,852,31984,42309,74,28,True,False
853,853,31900,44296,91,42,True,False
854,854,31604,40964,71,19,True,False
855,855,31875,42167,72,23,True,False
856,856,31572,50975,67,38,True,False
857,857,31703,33111,75,4,True,False
858,858,31727,40591,68,17,True,False
859,859,31971,42155,58,17,True,False
860,860,31949,41690,74,26,True,False
861,861,31791,45207,90,45,True,False
862,862,31658,42540,70,23,True,False
863,863,31911,42513,72,23,True,False
864,864,31791,40766,71,28,True,False
865,865,31933,33523,74,4,True,False
866,866,31612,41071,69,18,True,False
867,867,31998,43645,59,19,True,False
868,868,31786,43491,74,30,True,False
869,869,31976,46366,91,47,True,False
870,870,31865,42522,70,23,True,False
871,871,31918,42709,72,23,True,False
872,872,31965,52781,68,41,True,False
873,873,31929,33487,72,4,True,False
874,874,31841,41318,70,18,True,False
875,875,31743,43857,58,20,True,False
876,876,31983,43626,75,29,True,False
877,877,31976,46628,91,48,True,False
878,878,31704,42512,69,24,True,False
879,879,31918,42764,72,23,True,False
880,880,31965,53253,68,42,True,False
881,881,31862,33567,72,4,True,False
882,882,31808,41912,70,20,True,False
883,883,31953,43791,58,20,True,False
884,884,31679,43585,74,30,True,False
885,885,31976,46890,91,49,True,False
886,886,31931,42965,69,25,True,False
887,887,31918,42763,72,23,True,False
888,888,31965,53987,68,44,True,False
889,889,31775,34766,68,10,True,False
890,890,31776,42908,70,22,True,False
891,891,31920,43864,58,20,True,False
892,892,31697,43418,74,29,True,False
893,893,31976,47152,91,50,True,False
894,894,31769,42869,68,26,True,False
895,895,31918,42623,72,22,True,False
896,896,31941,54078,68,44,True,False
897,897,31767,35465,68,8,True,False
898,898,31975,42950,70,21,True,False
899,899,31747,40524,68,22,True,False
900,900,31670,42862,74,27,True,False
901,901,31996,47439,91,51,True,False
902,902,31898,42247,68,25,True,False
903,903,31943,42509,72,22,True,False
904,904,31990,54471,68,45,True,False
905,905,31942,37426,68,12,True,False
906,906,31849,46011,78,39,True,False
907,907,31717,44612,70,27,True,False
908,908,31753,45571,59,21,True,False
909,909,31816,45460,79,33,True,False
910,910,31830,46116,91,49,True,False
911,911,31969,44821,71,29,True,False
912,912,31879,60386,75,60,True,False
913,913,31951,59653,68,54,True,False
914,914,31931,44071,68,24,True,False
915,915,31798,43754,70,25,True,False
916,916,31834,45292,59,21,True,False
917,917,31897,44007,79,29,True,False
918,918,31911,46459,91,50,True,False
919,919,31601,42418,70,25,True,False
920,920,31960,61023,75,61,True,False
921,921,31581,59734,67,55,True,False
922,922,31943,41814,68,21,True,False
923,923,31879,44304,70,26,True,False
924,924,31915,44309,59,19,True,False
925,925,31978,42641,79,25,True,False
926,926,31992,46802,91,51,True,False
927,927,31682,40751,70,21,True,False
928,928,31985,61597,75,62,True,False
929,929,31662,59815,67,55,True,False
930,930,31587,40188,67,18,True,False
931,931,31990,44904,70,27,True,False
932,932,31750,44469,58,20,True,False
933,933,31744,40845,78,20,True,False
934,934,31863,47224,90,53,True,False
935,935,31842,39163,70,17,True,False
936,936,31695,62250,74,64,True,False
937,937,31822,59975,67,55,True,False
938,938,31860,38442,67,14,True,False
939,939,31835,45776,69,29,True,False
940,940,31903,44461,58,20,True,False
941,941,31750,40832,78,20,True,False
942,942,31826,47764,89,55,True,False
943,943,31948,41305,70,21,True,False
944,944,31944,62962,74,65,True,False
945,945,31775,39774,77,25,True,False
946,946,31934,38287,68,13,True,False
947,947,31937,46846,70,31,True,False
948,948,31717,44999,58,22,True,False
949,949,31958,41683,79,21,True,False
950,950,31929,48834,90,57,True,False
951,951,31760,43718,70,26,True,False
952,952,31758,63744,74,67,True,False
953,953,31817,61449,67,58,True,False
954,954,31963,38431,68,13,True,False
955,955,31649,47668,69,33,True,False
956,956,31717,44975,58,22,True,False
957,957,31958,42976,79,24,True,False
958,958,31929,49122,90,58,True,False
959,959,31839,44245,70,27,True,False
960,960,31758,64458,74,69,True,False
961,961,31817,61859,67,59,True,False
962,962,31682,38592,67,14,True,False
963,963,31649,48227,69,34,True,False
964,964,31717,44910,58,22,True,False
965,965,31958,42994,79,24,True,False
966,966,31929,49410,90,59,True,False
967,967,31739,44750,69,29,True,False
968,968,31758,64290,74,68,True,False
969,969,31817,62394,67,60,True,False
970,970,31765,38563,67,14,True,False
971,971,31649,48786,69,35,True,False
972,972,31717,44902,58,22,True,False
973,973,31958,42975,79,24,True,False
974,974,31929,49698,90,60,True,False
975,975,31982,44696,70,28,True,False
976,976,31758,64753,74,69,True,False
977,977,31822,62566,67,60,True,False
978,978,31851,39139,66,16,True,False
979,979,31835,49742,69,37,True,False
980,980,31961,39155,66,15,True,False
981,981,31810,43588,78,26,True,False
982,982,31886,50232,89,62,True,False
983,983,31982,45237,69,30,True,False
984,984,31948,65462,74,70,True,False
985,985,31612,62891,66,61,True,False
986,986,31949,38470,66,14,True,False
987,987,31988,46216,73,41,True,False
988,988,31995,45739,73,31,True,False
989,989,31981,45269,74,35,True,False
990,990,31945,44986,73,31,True,False
991,991,31850,44332,71,26,True,False
992,992,32000,43911,72,33,True,False
993,993,31986,43495,71,28,True,False
994,994,31711,42839,69,27,True,False
995,995,31715,42441,74,26,True,False
996,996,31839,42249,69,17,True,False
997,997,31804,41242,77,22,True,False
998,998,31742,39381,72,19,True,False
999,999,31800,40472,76,15,True,False
1000,1000,31911,40012,75,17,True,False
